ENSG00000186092.6	OR4F5
ENSG00000162366.8	PDZK1IP1
ENSG00000162367.11	TAL1
ENSG00000123473.15	STIL
ENSG00000162368.13	CMPK1
ENSG00000186790.6	FOXE3
ENSG00000186564.5	FOXD2
ENSG00000269113.4	TRABD2B
ENSG00000117834.12	SLC5A9
ENSG00000132122.12	SPATA6
ENSG00000186094.17	AGBL4
ENSG00000162373.13	BEND5
ENSG00000162374.17	ELAVL4
ENSG00000142700.12	DMRTA2
ENSG00000185104.20	FAF1
ENSG00000123080.12	CDKN2C
ENSG00000204006.9	C1orf185
ENSG00000123091.5	RNF11
ENSG00000085831.15	TTC39A
ENSG00000085832.17	EPS15
ENSG00000117859.19	OSBPL9
ENSG00000078618.21	NRDC
ENSG00000169213.7	RAB3B
ENSG00000117862.12	TXNDC12
ENSG00000285839.1	AL445685.3
ENSG00000198841.3	KTI12
ENSG00000134717.18	BTF3L4
ENSG00000157077.14	ZFYVE9
ENSG00000154222.14	CC2D1B
ENSG00000085840.13	ORC1
ENSG00000134748.13	PRPF38A
ENSG00000134744.14	TUT4
ENSG00000116157.6	GPX7
ENSG00000182183.15	SHISAL2A
ENSG00000162377.6	COA7
ENSG00000162378.13	ZYG11B
ENSG00000203995.9	ZYG11A
ENSG00000121310.17	ECHDC2
ENSG00000116171.18	SCP2
ENSG00000174348.13	PODN
ENSG00000162383.12	SLC1A7
ENSG00000157184.7	CPT2
ENSG00000162384.14	CZIB
ENSG00000162385.11	MAGOH
ENSG00000157193.17	LRP8
ENSG00000143006.7	DMRTB1
ENSG00000174332.5	GLIS1
ENSG00000058804.12	NDC1
ENSG00000058799.15	YIPF1
ENSG00000211452.10	DIO1
ENSG00000081870.11	HSPB11
ENSG00000116212.15	LRRC42
ENSG00000203985.11	LDLRAD1
ENSG00000116209.11	TMEM59
ENSG00000116205.14	TCEANC2
ENSG00000256407.2	AL357673.1
ENSG00000157211.11	CDCP2
ENSG00000215883.10	CYB5RL
ENSG00000116221.15	MRPL37
ENSG00000157216.15	SSBP3
ENSG00000162390.17	ACOT11
ENSG00000162391.12	FAM151A
ENSG00000184313.20	MROH7
ENSG00000271723.5	MROH7-TTC4
ENSG00000243725.7	TTC4
ENSG00000162396.6	PARS2
ENSG00000006555.11	TTC22
ENSG00000162398.11	LEXM
ENSG00000116133.13	DHCR24
ENSG00000143001.5	TMEM61
ENSG00000162399.9	BSND
ENSG00000169174.10	PCSK9
ENSG00000162402.14	USP24
ENSG00000284686.1	AC119674.2
ENSG00000162407.9	PLPP3
ENSG00000162409.11	PRKAA2
ENSG00000187889.13	FYB2
ENSG00000157131.10	C8A
ENSG00000021852.13	C8B
ENSG00000173406.15	DAB1
ENSG00000162600.12	OMA1
ENSG00000184292.6	TACSTD2
ENSG00000162601.11	MYSM1
ENSG00000177606.6	JUN
ENSG00000172456.17	FGGY
ENSG00000134709.11	HOOK1
ENSG00000134716.11	CYP2J2
ENSG00000162598.13	C1orf87
ENSG00000162599.17	NFIA
ENSG00000162604.12	TM2D1
ENSG00000132849.20	PATJ
ENSG00000240563.2	L1TD1
ENSG00000132854.19	KANK4
ENSG00000162607.13	USP1
ENSG00000116641.17	DOCK7
ENSG00000132855.4	ANGPTL3
ENSG00000125703.15	ATG4C
ENSG00000187140.5	FOXD3
ENSG00000088035.18	ALG6
ENSG00000142856.16	ITGB3BP
ENSG00000203965.13	EFCAB7
ENSG00000079739.17	PGM1
ENSG00000185483.12	ROR1
ENSG00000177414.13	UBE2U
ENSG00000158966.15	CACHD1
ENSG00000162437.14	RAVER2
ENSG00000162434.12	JAK1
ENSG00000162433.15	AK4
ENSG00000116675.16	DNAJC6
ENSG00000213625.9	LEPROT
ENSG00000116678.19	LEPR
ENSG00000184588.18	PDE4B
ENSG00000118473.22	SGIP1
ENSG00000152760.10	TCTEX1D1
ENSG00000172410.4	INSL5
ENSG00000152763.17	WDR78
ENSG00000198160.14	MIER1
ENSG00000116704.8	SLC35D1
ENSG00000203963.11	C1orf141
ENSG00000162594.15	IL23R
ENSG00000081985.11	IL12RB2
ENSG00000142864.14	SERBP1
ENSG00000116717.13	GADD45A
ENSG00000172380.6	GNG12
ENSG00000162595.6	DIRAS3
ENSG00000116729.14	WLS
ENSG00000116745.7	RPE65
ENSG00000024526.17	DEPDC1
ENSG00000033122.20	LRRC7
ENSG00000066557.6	LRRC40
ENSG00000116754.13	SRSF11
ENSG00000118454.13	ANKRD13C
ENSG00000197568.14	HHLA3
ENSG00000116761.11	CTH
ENSG00000050628.20	PTGER3
ENSG00000132485.14	ZRANB2
ENSG00000172260.15	NEGR1
ENSG00000162620.16	LRRIQ3
ENSG00000254685.6	FPGT
ENSG00000259030.7	FPGT-TNNI3K
ENSG00000116783.15	TNNI3K
ENSG00000162621.6	LRRC53
ENSG00000178965.14	ERICH3
ENSG00000116791.14	CRYZ
ENSG00000162623.16	TYW3
ENSG00000162624.14	LHX8
ENSG00000137968.16	SLC44A5
ENSG00000117054.13	ACADM
ENSG00000137955.16	RABGGTB
ENSG00000057468.7	MSH4
ENSG00000154007.6	ASB17
ENSG00000184005.11	ST6GALNAC3
ENSG00000117069.15	ST6GALNAC5
ENSG00000142892.15	PIGK
ENSG00000154027.19	AK5
ENSG00000036549.13	AC118549.1
ENSG00000077254.14	USP33
ENSG00000180488.15	MIGA1
ENSG00000162614.18	NEXN
ENSG00000162613.16	FUBP1
ENSG00000162616.9	DNAJB4
ENSG00000137960.6	GIPC2
