ENSMUSG00000051951.5	Xkr4
ENSMUSG00000042686.5	Jph1
ENSMUSG00000025777.8	Gdap1
ENSMUSG00000067780.3	Pi15
ENSMUSG00000025776.13	Crispld1
ENSMUSG00000025774.14	Crisp4
ENSMUSG00000073735.1	Defb18
ENSMUSG00000067773.6	Defb41
ENSMUSG00000042596.7	Tfap2d
ENSMUSG00000025927.13	Tfap2b
ENSMUSG00000043760.16	Pkhd1
ENSMUSG00000025929.4	Il17a
ENSMUSG00000041872.9	Il17f
ENSMUSG00000041859.10	Mcm3
ENSMUSG00000025931.15	Paqr8
ENSMUSG00000041809.5	Efhc1
ENSMUSG00000041779.5	Tram2
ENSMUSG00000025933.15	Tmem14a
ENSMUSG00000025934.15	Gsta3
ENSMUSG00000067750.3	Khdc1a
ENSMUSG00000041722.7	Khdc1c
ENSMUSG00000085079.3	Khdc1b
ENSMUSG00000028033.16	Kcnq5
ENSMUSG00000041670.16	Rims1
ENSMUSG00000073730.2	4933415F23Rik
ENSMUSG00000026158.11	Ogfrl1
ENSMUSG00000026156.8	B3gat2
ENSMUSG00000026155.13	Smap1
ENSMUSG00000026154.4	Sdhaf4
ENSMUSG00000026153.15	Fam135a
ENSMUSG00000026147.16	Col9a1
ENSMUSG00000026141.13	Col19a1
ENSMUSG00000073725.8	Lmbrd1
ENSMUSG00000033569.17	Adgrb3
ENSMUSG00000073722.3	4931408C20Rik
ENSMUSG00000048411.4	Gm597
ENSMUSG00000048874.15	Phf3
ENSMUSG00000026064.16	Ptp4a1
ENSMUSG00000117310.1	Ptp4a1
ENSMUSG00000117091.1	AC153137.1
ENSMUSG00000086727.8	4931428L18Rik
ENSMUSG00000050217.13	Lgsn
ENSMUSG00000026063.4	Pih1d3
ENSMUSG00000026058.11	Khdrbs2
ENSMUSG00000091318.2	Gm5415
ENSMUSG00000026134.11	Prim2
ENSMUSG00000004768.14	Rab23
ENSMUSG00000042215.8	Bag2
ENSMUSG00000042197.13	Zfp451
ENSMUSG00000042182.16	Bend6
ENSMUSG00000026131.18	Dst
ENSMUSG00000042111.9	Ccdc115
ENSMUSG00000026127.13	Imp4
ENSMUSG00000026126.15	Ptpn18
ENSMUSG00000026125.9	Prss39
ENSMUSG00000026124.4	Cfc1
ENSMUSG00000037529.13	Prss40
ENSMUSG00000045174.10	Amer3
ENSMUSG00000037509.20	Arhgef4
ENSMUSG00000037503.12	Fam168b
ENSMUSG00000026123.11	Plekhb2
ENSMUSG00000045216.7	Hs6st1
ENSMUSG00000037470.14	Uggt1
ENSMUSG00000047180.8	Neurl3
ENSMUSG00000037447.16	Arid5a
ENSMUSG00000010453.12	Kansl3
ENSMUSG00000037432.15	Fer1l5
ENSMUSG00000001143.13	Lman2l
ENSMUSG00000037408.10	Cnnm4
ENSMUSG00000001138.13	Cnnm3
ENSMUSG00000067653.12	Ankrd23
ENSMUSG00000109510.1	Gm42417
ENSMUSG00000079610.9	Ankrd39
ENSMUSG00000026121.13	Sema4c
ENSMUSG00000046337.17	Fam178b
ENSMUSG00000061518.11	Cox5b
ENSMUSG00000037351.9	Actr1b
ENSMUSG00000102416.4	4933424G06Rik
ENSMUSG00000026117.10	Zap70
ENSMUSG00000026116.11	Tmem131
ENSMUSG00000050122.18	Vwa3b
ENSMUSG00000026114.14	Cnga3
ENSMUSG00000026113.17	Inpp4a
ENSMUSG00000026112.7	Coa5
ENSMUSG00000026111.15	Unc50
ENSMUSG00000026110.15	Mgat4a
ENSMUSG00000026090.16	2010300C02Rik
ENSMUSG00000060771.14	Tsga10
ENSMUSG00000037216.5	Lipt1
ENSMUSG00000026088.15	Mitd1
ENSMUSG00000026087.11	Mrpl30
ENSMUSG00000061584.6	Lyg2
ENSMUSG00000026085.11	Lyg1
ENSMUSG00000058407.12	Txndc9
ENSMUSG00000026083.12	Eif5b
ENSMUSG00000026082.11	Rev1
ENSMUSG00000037138.17	Aff3
ENSMUSG00000048814.10	Lonrf2
ENSMUSG00000026080.13	Chst10
ENSMUSG00000067604.8	Nms
ENSMUSG00000026078.10	Pdcl3
ENSMUSG00000026077.15	Npas2
ENSMUSG00000073702.11	Rpl31
ENSMUSG00000003134.10	Tbc1d8
ENSMUSG00000003135.15	Cnot11
ENSMUSG00000048234.13	Rnf149
ENSMUSG00000050967.5	Creg2
ENSMUSG00000057173.8	Rfx8
ENSMUSG00000091937.3	Gm3646
ENSMUSG00000026074.15	Map4k4
ENSMUSG00000026073.13	Il1r2
ENSMUSG00000026072.12	Il1r1
ENSMUSG00000070942.8	Il1rl2
ENSMUSG00000026069.15	Il1rl1
ENSMUSG00000026070.15	Il18r1
ENSMUSG00000026068.11	Il18rap
ENSMUSG00000026065.8	Slc9a4
ENSMUSG00000026062.12	Slc9a2
ENSMUSG00000041945.12	Mfsd9
ENSMUSG00000079588.3	Tmem182
ENSMUSG00000045515.3	Pou3f3
ENSMUSG00000060679.14	Mrps9
ENSMUSG00000041907.9	Gpr45
ENSMUSG00000070939.9	Tgfbrap1
ENSMUSG00000010290.7	AI597479
ENSMUSG00000008136.14	Fhl2
ENSMUSG00000066877.11	Nck2
ENSMUSG00000026051.8	1500015O10Rik
ENSMUSG00000057363.12	Uxs1
ENSMUSG00000041763.14	Tpp2
ENSMUSG00000047343.4	Mettl21c
ENSMUSG00000026049.11	Tex30
ENSMUSG00000026047.13	Kdelc1
ENSMUSG00000041684.11	Bivm
ENSMUSG00000026048.16	Ercc5
ENSMUSG00000046828.3	Mettl21e
ENSMUSG00000056870.9	Gulp1
ENSMUSG00000026043.18	Col3a1
ENSMUSG00000026042.16	Col5a2
ENSMUSG00000025995.16	Wdr75
ENSMUSG00000098549.1	Gm5269
ENSMUSG00000025993.10	Slc40a1
ENSMUSG00000041144.10	Dnah7b
ENSMUSG00000101337.6	Dnah7c
ENSMUSG00000025986.6	Slc39a10
ENSMUSG00000026109.14	Tmeff2
ENSMUSG00000045954.7	Cavin2
ENSMUSG00000026107.11	Nabp1
ENSMUSG00000018417.14	Myo1b
ENSMUSG00000062939.11	Stat4
ENSMUSG00000026104.14	Stat1
ENSMUSG00000026103.14	Gls
ENSMUSG00000002881.14	Nab1
ENSMUSG00000043015.15	Nemp2
ENSMUSG00000041439.15	Mfsd6
ENSMUSG00000026102.9	Inpp1
ENSMUSG00000041426.12	Hibch
ENSMUSG00000043629.12	1700019D03Rik
ENSMUSG00000026100.6	Mstn
ENSMUSG00000060715.9	1700019A02Rik
ENSMUSG00000026098.13	Pms1
ENSMUSG00000026097.9	Ormdl1
ENSMUSG00000100679.1	Gm28778
ENSMUSG00000026096.14	Osgepl1
ENSMUSG00000099913.1	Gm28551
ENSMUSG00000026095.15	Asnsd1
ENSMUSG00000096141.2	Dnah7a
ENSMUSG00000026094.14	Stk17b
ENSMUSG00000042807.15	Hecw2
ENSMUSG00000025983.11	Ccdc150
ENSMUSG00000041303.7	Gtf3c3
ENSMUSG00000073678.4	Pgap1
ENSMUSG00000052331.14	Ankrd44
ENSMUSG00000025982.13	Sf3b1
ENSMUSG00000025981.13	Coq10b
ENSMUSG00000025980.14	Hspd1
ENSMUSG00000073676.4	Hspe1
ENSMUSG00000025979.13	Mob4
ENSMUSG00000025978.14	Rftn2
ENSMUSG00000046994.9	Mars2
ENSMUSG00000025977.15	Boll
ENSMUSG00000038349.10	Plcl1
ENSMUSG00000045336.5	Hsfy2
ENSMUSG00000038331.15	Satb2
ENSMUSG00000038323.3	1700066M21Rik
ENSMUSG00000048495.16	Tyw5
ENSMUSG00000025971.6	Maip1
ENSMUSG00000038305.15	Spats2l
ENSMUSG00000054770.16	Kctd18
ENSMUSG00000026039.9	Sgo2a
ENSMUSG00000063558.4	Aox1
ENSMUSG00000064294.12	Aox3
ENSMUSG00000038242.12	Aox4
ENSMUSG00000079554.2	Aox2
ENSMUSG00000051223.14	Bzw1
ENSMUSG00000026034.17	Clk1
ENSMUSG00000026035.15	Ppil3
ENSMUSG00000026036.17	Nif3l1
ENSMUSG00000026037.14	Orc2
ENSMUSG00000038174.14	Fam126b
ENSMUSG00000026032.8	Ndufb3
ENSMUSG00000047528.13	Als2cr12
ENSMUSG00000026031.15	Cflar
ENSMUSG00000026029.14	Casp8
ENSMUSG00000026028.12	Trak2
ENSMUSG00000026027.13	Stradb
ENSMUSG00000072295.5	C2cd6
ENSMUSG00000038079.14	Tmem237
ENSMUSG00000079550.9	Mpp4
ENSMUSG00000026024.14	Als2
ENSMUSG00000026023.16	Cdk15
ENSMUSG00000041075.8	Fzd7
ENSMUSG00000047361.16	Gm973
ENSMUSG00000026021.15	Sumo1
ENSMUSG00000026020.9	Nop58
ENSMUSG00000067336.6	Bmpr2
ENSMUSG00000041040.12	Fam117b
ENSMUSG00000026018.12	Ica1l
ENSMUSG00000026019.15	Wdr12
ENSMUSG00000026017.13	Carf
ENSMUSG00000073664.11	Nbeal1
ENSMUSG00000049439.13	Cyp20a1
ENSMUSG00000026782.15	Abi2
ENSMUSG00000026014.15	Raph1
ENSMUSG00000026012.2	Cd28
ENSMUSG00000026011.13	Ctla4
ENSMUSG00000026009.14	Icos
ENSMUSG00000052062.14	Pard3b
ENSMUSG00000025969.15	Nrp2
ENSMUSG00000040865.15	Ino80d
ENSMUSG00000025968.16	Ndufs1
ENSMUSG00000025967.16	Eef1b2
ENSMUSG00000046856.13	Gpr1
ENSMUSG00000027520.15	Zdbf2
ENSMUSG00000025964.15	Adam23
ENSMUSG00000115378.1	Gm39653
ENSMUSG00000069085.5	Dytn
ENSMUSG00000025963.5	Mdh1b
ENSMUSG00000025962.15	Fastkd2
ENSMUSG00000025961.1	4933402D24Rik
ENSMUSG00000025959.13	Klf7
ENSMUSG00000025958.14	Creb1
ENSMUSG00000025956.10	Mettl21a
ENSMUSG00000070871.10	Ccnyl1
ENSMUSG00000045005.9	Fzd5
ENSMUSG00000051344.13	Plekhm3
ENSMUSG00000025955.13	Akr1cl
ENSMUSG00000070870.6	Cryge
ENSMUSG00000067299.11	Crygd
ENSMUSG00000025952.15	Crygc
ENSMUSG00000073658.4	Crygb
ENSMUSG00000044429.8	Cryga
ENSMUSG00000100846.1	Gm28845
ENSMUSG00000044816.10	D630023F18Rik
ENSMUSG00000025950.16	Idh1
ENSMUSG00000025949.16	Pikfyve
ENSMUSG00000025946.13	Pth2r
ENSMUSG00000025945.11	Crygf
ENSMUSG00000015222.17	Map2
ENSMUSG00000055567.18	Unc80
ENSMUSG00000026005.15	Rpe
ENSMUSG00000026004.15	Kansl1l
ENSMUSG00000026003.5	Acadl
ENSMUSG00000061816.15	Myl1
ENSMUSG00000026000.16	Lancl1
ENSMUSG00000025991.8	Cps1
ENSMUSG00000062209.15	Erbb4
ENSMUSG00000025997.13	Ikzf2
ENSMUSG00000053153.14	Spag16
ENSMUSG00000045648.15	Vwc2l
ENSMUSG00000026196.7	Bard1
ENSMUSG00000050296.14	Abca12
ENSMUSG00000026192.13	Atic
ENSMUSG00000026193.15	Fn1
ENSMUSG00000039395.8	Mreg
ENSMUSG00000026189.13	Pecr
ENSMUSG00000026188.11	Tmem169
ENSMUSG00000039372.5	March4
ENSMUSG00000039354.16	Smarcal1
ENSMUSG00000039342.5	Ankar
ENSMUSG00000046330.10	Rpl37a
ENSMUSG00000039323.18	Igfbp2
ENSMUSG00000026185.8	Igfbp5
ENSMUSG00000026182.6	Tnp1
ENSMUSG00000055322.15	Tns1
ENSMUSG00000061815.11	Rufy4
ENSMUSG00000026180.8	Cxcr2
ENSMUSG00000048480.5	Cxcr1
ENSMUSG00000006304.14	Arpc2
ENSMUSG00000064272.3	Gpbar1
ENSMUSG00000006299.13	Aamp
ENSMUSG00000026179.14	Pnkd
ENSMUSG00000006301.17	Tmbim1
ENSMUSG00000073650.8	Catip
ENSMUSG00000026177.11	Slc11a1
ENSMUSG00000026176.13	Ctdsp1
ENSMUSG00000026175.12	Vil1
ENSMUSG00000033364.13	Usp37
ENSMUSG00000026174.9	Cnot9
ENSMUSG00000026173.15	Plcd4
ENSMUSG00000026135.17	Zfp142
ENSMUSG00000026172.12	Bcs1l
ENSMUSG00000026171.12	Rnf25
ENSMUSG00000033276.18	Stk36
ENSMUSG00000033257.14	Ttll4
ENSMUSG00000026170.6	Cyp27a1
ENSMUSG00000006542.13	Prkag3
ENSMUSG00000033227.7	Wnt6
ENSMUSG00000026167.14	Wnt10a
ENSMUSG00000090071.4	Cdk5r2
ENSMUSG00000055197.4	Fev
ENSMUSG00000006546.3	Cryba2
ENSMUSG00000047021.14	Cfap65
ENSMUSG00000006538.12	Ihh
ENSMUSG00000026162.7	Nhej1
ENSMUSG00000026205.8	Slc23a3
ENSMUSG00000033159.14	Cnppd1
ENSMUSG00000049339.16	Retreg2
ENSMUSG00000026197.12	Zfand2b
ENSMUSG00000026198.15	Abcb6
ENSMUSG00000033124.15	Atg9a
ENSMUSG00000026199.17	Ankzf1
ENSMUSG00000026200.13	Glb1l
ENSMUSG00000026201.12	Stk16
ENSMUSG00000026202.13	Tuba4a
ENSMUSG00000096094.2	A630095N17Rik
ENSMUSG00000026203.16	Dnajb2
ENSMUSG00000026204.15	Ptprn
ENSMUSG00000033061.15	Resp18
ENSMUSG00000026209.15	Dnpep
ENSMUSG00000026208.9	Des
ENSMUSG00000026207.16	Speg
ENSMUSG00000033021.16	Gmppa
ENSMUSG00000033007.15	Asic4
ENSMUSG00000032997.16	Chpf
ENSMUSG00000026211.17	Obsl1
ENSMUSG00000051703.14	Tmem198
ENSMUSG00000032968.4	Inha
ENSMUSG00000026213.15	Stk11ip
ENSMUSG00000006576.16	Slc4a3
ENSMUSG00000026235.14	Epha4
ENSMUSG00000004872.15	Pax3
ENSMUSG00000032908.9	Sgpp2
ENSMUSG00000026245.16	Farsb
ENSMUSG00000090486.2	BC035947
ENSMUSG00000012187.13	Mogat1
ENSMUSG00000032883.15	Acsl3
ENSMUSG00000079470.8	Utp14b
ENSMUSG00000047330.8	Kcne4
ENSMUSG00000050711.7	Scg2
ENSMUSG00000054702.14	Ap1s3
ENSMUSG00000073643.11	Wdfy1
ENSMUSG00000026248.9	Mrpl44
ENSMUSG00000026249.10	Serpine2
ENSMUSG00000043230.2	Fam124b
ENSMUSG00000004364.14	Cul3
ENSMUSG00000110100.1	Gm45261
ENSMUSG00000038608.15	Dock10
ENSMUSG00000054976.14	Nyap2
ENSMUSG00000055980.2	Irs1
ENSMUSG00000026142.15	Rhbdd1
ENSMUSG00000067158.9	Col4a4
ENSMUSG00000079465.8	Col4a3
ENSMUSG00000026150.14	Mff
ENSMUSG00000026149.2	Tm4sf20
ENSMUSG00000114299.1	Gm47791
ENSMUSG00000026159.13	Agfg1
ENSMUSG00000113880.1	A030005L19Rik
ENSMUSG00000113973.1	A030014E15Rik
ENSMUSG00000113846.1	Gm6217
ENSMUSG00000113084.1	A030003K21Rik
ENSMUSG00000113925.1	Gm7544
ENSMUSG00000114011.1	Gm47955
ENSMUSG00000113097.1	Gm47959
ENSMUSG00000038496.16	Slc19a3
ENSMUSG00000100190.1	Krtap28-10
ENSMUSG00000113267.1	Gm47969
ENSMUSG00000104423.1	A030005K14Rik
ENSMUSG00000101315.1	Krtap28-13
ENSMUSG00000026166.14	Ccl20
ENSMUSG00000053161.16	Daw1
ENSMUSG00000026163.17	Sphkap
ENSMUSG00000045658.16	Pid1
ENSMUSG00000036766.12	Dner
ENSMUSG00000026219.14	Trip12
ENSMUSG00000073633.9	Fbxo36
ENSMUSG00000026220.6	Slc16a14
ENSMUSG00000052477.15	C130026I21Rik
ENSMUSG00000089844.7	A530032D15Rik
ENSMUSG00000070034.13	Sp110
ENSMUSG00000070031.11	Sp140
ENSMUSG00000026222.16	Sp100
ENSMUSG00000052760.16	A630001G21Rik
ENSMUSG00000036707.16	Cab39
ENSMUSG00000026223.15	Itm2c
ENSMUSG00000026224.11	4933407L21Rik
ENSMUSG00000049608.8	Gpr55
ENSMUSG00000026226.16	Spata3
ENSMUSG00000026227.11	2810459M11Rik
ENSMUSG00000026229.17	Psmd1
ENSMUSG00000026228.6	Htr2b
ENSMUSG00000094638.1	Gm21972
ENSMUSG00000062590.13	Armc9
ENSMUSG00000079445.3	B3gnt7
ENSMUSG00000026234.12	Ncl
ENSMUSG00000026237.5	Nmur1
ENSMUSG00000036574.5	Tex44
ENSMUSG00000026238.14	Ptma
ENSMUSG00000026239.14	Pde6d
ENSMUSG00000026240.12	Cops7b
ENSMUSG00000026241.5	Nppc
ENSMUSG00000053333.15	Dis3l2
ENSMUSG00000026246.12	Alppl2
ENSMUSG00000079440.2	Alpi
ENSMUSG00000036500.4	Akp3
ENSMUSG00000026247.13	Ecel1
ENSMUSG00000036480.9	Prss56
ENSMUSG00000026251.13	Chrnd
ENSMUSG00000026253.14	Chrng
ENSMUSG00000026254.17	Eif4e2
ENSMUSG00000026255.15	Efhd1
ENSMUSG00000048000.15	Gigyf2
ENSMUSG00000079436.3	Kcnj13
ENSMUSG00000026258.5	Snorc
ENSMUSG00000026259.14	Ngef
ENSMUSG00000079434.8	Neu2
ENSMUSG00000026288.14	Inpp5d
ENSMUSG00000026289.15	Atg16l1
ENSMUSG00000056055.13	Sag
ENSMUSG00000070738.10	Dgkd
ENSMUSG00000005501.14	Usp40
ENSMUSG00000090165.8	Ugt1a10
ENSMUSG00000090175.1	Ugt1a9
ENSMUSG00000089675.1	Ugt1a8
ENSMUSG00000090124.7	Ugt1a7c
ENSMUSG00000090145.7	Ugt1a6b
ENSMUSG00000054545.17	Ugt1a6a
ENSMUSG00000089943.1	Ugt1a5
ENSMUSG00000090171.1	Ugt1a2
ENSMUSG00000081984.3	Dnajb3
ENSMUSG00000089960.1	Ugt1a1
ENSMUSG00000079429.9	Mroh2a
ENSMUSG00000044783.16	Hjurp
ENSMUSG00000036251.16	Trpm8
ENSMUSG00000026295.12	Spp2
ENSMUSG00000062310.7	Glrp1
ENSMUSG00000049866.12	Arl4c
ENSMUSG00000036206.12	Sh3bp4
ENSMUSG00000055013.15	Agap1
ENSMUSG00000034486.8	Gbx2
ENSMUSG00000067081.12	Asb18
ENSMUSG00000026301.16	Iqca
ENSMUSG00000044337.5	Ackr3
ENSMUSG00000034432.11	Cops8
ENSMUSG00000048126.16	Col6a3
ENSMUSG00000026303.6	Mlph
ENSMUSG00000090550.2	Prlh
ENSMUSG00000026304.13	Rab17
ENSMUSG00000026305.15	Lrrfip1
ENSMUSG00000070732.2	Rbm44
ENSMUSG00000034353.14	Ramp1
ENSMUSG00000034343.14	Ube2f
ENSMUSG00000026307.12	Scly
ENSMUSG00000049515.12	Espnl
ENSMUSG00000026308.8	Klhl30
ENSMUSG00000047443.14	Erfe
ENSMUSG00000026309.14	Ilkap
ENSMUSG00000067071.8	Hes6
ENSMUSG00000055866.9	Per2
ENSMUSG00000034292.13	Traf3ip1
ENSMUSG00000026311.16	Asb1
ENSMUSG00000007805.4	Twist2
ENSMUSG00000026313.16	Hdac4
ENSMUSG00000026260.12	Ndufa10
ENSMUSG00000067064.4	Olfr1416
ENSMUSG00000057464.4	Olfr1415
ENSMUSG00000042849.11	Olfr1414
ENSMUSG00000058904.3	Olfr1413
ENSMUSG00000046300.4	Olfr1412
ENSMUSG00000062497.3	Olfr1411
ENSMUSG00000063583.6	Olfr1410
ENSMUSG00000061616.5	Olfr12
ENSMUSG00000073616.10	Cops9
ENSMUSG00000044055.5	Otos
ENSMUSG00000034220.7	Gpc1
ENSMUSG00000034212.14	Ankmy1
ENSMUSG00000047067.7	Dusp28
ENSMUSG00000026269.14	Rnpepl1
ENSMUSG00000026270.11	Capn10
ENSMUSG00000026271.15	Gpr35
ENSMUSG00000045091.4	Aqp12
ENSMUSG00000014602.15	Kif1a
ENSMUSG00000026272.6	Agxt
ENSMUSG00000034159.12	2310007B03Rik
ENSMUSG00000084989.3	Crocc2
ENSMUSG00000047793.13	Sned1
ENSMUSG00000026273.13	Mterf4
ENSMUSG00000026274.11	Pask
ENSMUSG00000026275.13	Ppp1r7
ENSMUSG00000034107.10	Ano7
ENSMUSG00000034088.15	Hdlbp
ENSMUSG00000026276.20	Sept2
ENSMUSG00000034066.13	Farp2
ENSMUSG00000026277.14	Stk25
ENSMUSG00000026278.14	Bok
ENSMUSG00000026279.14	Thap4
ENSMUSG00000026280.17	Atg4b
ENSMUSG00000026281.15	Dtymk
ENSMUSG00000026283.13	Ing5
ENSMUSG00000073609.9	D2hgdh
ENSMUSG00000094651.2	Gal3st2
ENSMUSG00000093805.7	Gal3st2b
ENSMUSG00000073608.4	Gal3st2c
ENSMUSG00000034000.15	Neu4
ENSMUSG00000026285.7	Pdcd1
ENSMUSG00000051185.9	Fam174a
ENSMUSG00000040710.10	St8sia4
ENSMUSG00000040693.7	Slco4c1
ENSMUSG00000026331.13	Slco6c1
ENSMUSG00000044768.16	D1Ertd622e
ENSMUSG00000040648.14	Ppip5k2
ENSMUSG00000026333.14	Gin1
ENSMUSG00000026335.16	Pam
ENSMUSG00000026336.13	Slco6d1
ENSMUSG00000067028.11	Cntnap5b
ENSMUSG00000050840.8	Cdh20
ENSMUSG00000047496.6	Rnf152
ENSMUSG00000056536.14	Pign
ENSMUSG00000026319.13	Relch
ENSMUSG00000026321.7	Tnfrsf11a
ENSMUSG00000038866.15	Zcchc2
ENSMUSG00000044340.7	Phlpp1
ENSMUSG00000057329.7	Bcl2
ENSMUSG00000009905.5	Kdsr
ENSMUSG00000009907.17	Vps4b
ENSMUSG00000067006.12	Serpinb5
ENSMUSG00000059956.14	Serpinb12
ENSMUSG00000048775.10	Serpinb13
ENSMUSG00000044594.14	Serpinb3a
ENSMUSG00000058017.6	Serpinb3d
ENSMUSG00000073602.10	Serpinb3b
ENSMUSG00000073601.2	Serpinb3c
ENSMUSG00000026327.8	Serpinb11
ENSMUSG00000067001.11	Serpinb7
ENSMUSG00000062345.10	Serpinb2
ENSMUSG00000026315.13	Serpinb8
ENSMUSG00000026312.17	Cdh7
ENSMUSG00000047216.8	Cdh19
ENSMUSG00000038702.6	Dsel
ENSMUSG00000070695.4	Cntnap5a
ENSMUSG00000094429.2	Gm19965
ENSMUSG00000100265.1	Gm28363
ENSMUSG00000101303.1	B020011L13Rik
ENSMUSG00000100305.1	Gm28360
ENSMUSG00000101415.1	Gm28168
ENSMUSG00000100617.1	Gm7145
ENSMUSG00000102030.1	Gm29106
ENSMUSG00000026374.14	Tsn
ENSMUSG00000026377.12	Nifk
ENSMUSG00000064302.13	Clasp1
ENSMUSG00000026380.10	Tfcp2l1
ENSMUSG00000048402.14	Gli2
ENSMUSG00000037035.5	Inhbb
ENSMUSG00000004451.14	Ralb
ENSMUSG00000098923.1	Tmem185b
ENSMUSG00000026383.14	Epb41l5
ENSMUSG00000026384.13	Ptpn4
ENSMUSG00000036975.5	Tmem177
ENSMUSG00000036962.12	Cfap221
ENSMUSG00000026387.15	Sctr
ENSMUSG00000050777.7	Tmem37
ENSMUSG00000026385.16	Dbi
ENSMUSG00000026388.15	3110009E18Rik
ENSMUSG00000026389.16	Steap3
ENSMUSG00000036907.9	C1ql2
ENSMUSG00000026390.7	Marco
ENSMUSG00000058665.8	En1
ENSMUSG00000003721.14	Insig2
ENSMUSG00000026339.18	Ccdc93
ENSMUSG00000050534.8	Htr5b
ENSMUSG00000001674.11	Ddx18
ENSMUSG00000036815.16	Dpp10
ENSMUSG00000026341.16	Actr3
ENSMUSG00000026342.10	Slc35f5
ENSMUSG00000026343.6	Gpr39
ENSMUSG00000026344.9	Lypd1
ENSMUSG00000049690.15	Nckap5
ENSMUSG00000036155.13	Mgat5
ENSMUSG00000026347.13	Tmem163
ENSMUSG00000026348.7	Acmsd
ENSMUSG00000026349.14	Ccnt2
ENSMUSG00000051590.9	Map3k19
ENSMUSG00000036104.12	Rab3gap1
ENSMUSG00000036086.16	Zranb3
ENSMUSG00000056211.13	R3hdm1
ENSMUSG00000026353.9	Ubxn4
ENSMUSG00000026354.8	Lct
ENSMUSG00000026355.11	Mcm6
ENSMUSG00000026356.15	Dars
ENSMUSG00000045382.6	Cxcr4
ENSMUSG00000042581.14	Thsd7b
ENSMUSG00000026401.15	Cd55b
ENSMUSG00000026399.12	Cd55
ENSMUSG00000042554.10	Zp3r
ENSMUSG00000026405.14	C4bp
ENSMUSG00000101904.1	Gm29427
ENSMUSG00000026409.14	Pfkfb2
ENSMUSG00000046404.5	Yod1
ENSMUSG00000042510.7	AA986860
ENSMUSG00000026415.11	Fcamr
ENSMUSG00000026417.13	Pigr
ENSMUSG00000042474.6	Fcmr
ENSMUSG00000026420.16	Il24
ENSMUSG00000026416.12	Il20
ENSMUSG00000016524.12	Il19
ENSMUSG00000016529.5	Il10
ENSMUSG00000016528.10	Mapkapk2
ENSMUSG00000016526.8	Dyrk3
ENSMUSG00000026427.16	Eif2d
ENSMUSG00000026430.16	Rassf5
ENSMUSG00000042349.13	Ikbke
ENSMUSG00000026425.15	Srgap2
ENSMUSG00000055184.4	Fam72a
ENSMUSG00000026432.7	Avpr1b
ENSMUSG00000004552.16	Ctse
ENSMUSG00000052688.12	Rab7b
ENSMUSG00000042268.10	Slc26a9
ENSMUSG00000042251.12	Pm20d1
ENSMUSG00000013275.9	Slc41a1
ENSMUSG00000026433.13	Rab29
ENSMUSG00000026434.12	Nucks1
ENSMUSG00000026435.15	Slc45a3
ENSMUSG00000026436.15	Elk4
ENSMUSG00000059149.17	Mfsd4a
ENSMUSG00000026437.11	Cdk18
ENSMUSG00000079330.8	Lemd1
ENSMUSG00000042115.4	Klhdc8a
ENSMUSG00000009772.15	Nuak2
ENSMUSG00000042066.15	Tmcc2
ENSMUSG00000042046.15	Dstyk
ENSMUSG00000026439.14	Rbbp5
ENSMUSG00000048174.2	Tmem81
ENSMUSG00000053024.14	Cntn2
